value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2018-10-08
"title: R Weekly 2018-41 Video, r2d3, SQL",40,FALSE,NA,NA,unid,2018-10-08
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2018-10-08
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2018-10-08
---,3,FALSE,NA,NA,unid,2018-10-08
+ [The av Package: Production Quality Video in R](https://ropensci.org/technotes/2018/10/06/av-release/),104,FALSE,NA,###  Highlight,link,2018-10-08
+ [r2d3](https://blog.rstudio.com/2018/10/05/r2d3-r-interface-to-d3-visualizations/) - R Interface to D3 Visualizations,119,FALSE,NA,###  Highlight,link,2018-10-08
+ [RStudio 1.2 Preview: SQL Integration](https://blog.rstudio.com/2018/10/02/rstudio-1-2-preview-sql/),102,FALSE,NA,###  Highlight,link,2018-10-08
"+ [Community Call - Code Review in the Lab, or ... How do you review code that accompanies a research project?](https://ropensci.org/blog/2018/10/05/commcall-oct2018/)",167,FALSE,NA,###  R in Organizations,link,2018-10-08
+ [Visualizing the Weather in Japan: A Sweltering Summer Story!](https://ryo-n7.github.io/2018-10-04-visualize-weather-in-japan/),129,FALSE,NA,### R in the Real World,link,2018-10-08
![Visualizing the Weather in Japan: A Sweltering Summer Story!](https://i.imgur.com/3nEmchc.png),96,FALSE,NA,### R in the Real World,image,2018-10-08
+ [Spookify: Halloween Name Generation in R](https://masalmon.eu/2018/10/05/spookify/),86,FALSE,NA,### R in the Real World,link,2018-10-08
+ [This article looks at the R or Python question through the lenses of a digital analyst](https://medium.com/innovation-machine/choosing-between-r-and-python-a-digital-analysts-guide-b7103f80aa4e),197,FALSE,NA,### R in the Real World,link,2018-10-08
+ [Automate away the boring parts of organising (journal club) meetings using R and Google Sheets](https://www.granvillematheson.com/post/reminder-bot/),152,FALSE,NA,### R in the Real World,link,2018-10-08
+ [Why Equity Requires Looking Beyond Averages: A Look at Minneapolis Public Schools](https://ivelasq.rbind.io/blog/why-disaggregate-data/),139,FALSE,NA,### R in the Real World,link,2018-10-08
+ [Scraping twitter data to visualize trending tweets in Kuala Lumpur](https://duttashi.github.io/blog/scraping-twitter-data-to-analyse-trends-in-KL/),150,FALSE,NA,### R in the Real World,link,2018-10-08
+ [Rent-scraping: How I saved money using R](http://embracingtherandom.com/r/web-scraping/rent-scraping/),105,FALSE,NA,### R in the Real World,link,2018-10-08
![Rent-scraping: How I saved money using R](https://raw.githubusercontent.com/rweekly/image/master/2018/rolling_rent.png),121,FALSE,NA,### R in the Real World,image,2018-10-08
+ [Chromebook Data Science - a free online data science program for anyone with a web browser.](https://simplystatistics.org/2018/10/01/chromebook-data-science-an-online-data-science-program-for-anyone-with-a-web-browser/),222,FALSE,NA,### Insights,link,2018-10-08
+ [Using R Markdown and papaja with a LaTeX class to submit a conference proposal: A few notes](https://jrosen48.github.io/blog/using-r-markdown-with-a-latex-class-a-few-notes/),177,FALSE,NA,### Insights,link,2018-10-08
+ [limiting dependencies in R package development](https://recology.info/2018/10/limiting-dependencies/),104,FALSE,NA,### Insights,link,2018-10-08
+ [Some Thoughts on R / Pharma 2018](https://rviews.rstudio.com/2018/10/03/some-thoughts-on-r-pharma-2018/),107,FALSE,NA,### Insights,link,2018-10-08
+ [My Journey into Data Science](https://theartandscienceofdata.wordpress.com/2018/01/07/my-journey-into-data-science/),119,FALSE,NA,### Insights,link,2018-10-08
+ [A few upcoming R conferences](http://blog.revolutionanalytics.com/2018/10/a-few-upcoming-r-conferences.html),111,FALSE,NA,###  Resources,link,2018-10-08
+ [In case you missed it: September 2018 roundup](http://blog.revolutionanalytics.com/2018/10/in-case-you-missed-it-september-2018-roundup.html),144,FALSE,NA,###  Resources,link,2018-10-08
+ [List of courses teaching R](https://github.com/rstudio-education/rstats-ed),78,FALSE,NA,###  Resources,link,2018-10-08
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,NA,###  New Packages,unid,2018-10-08
**CRAN**,8,FALSE,NA,###  New Packages,unid,2018-10-08
