value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2018-6-11
"title: R Weekly 2018-24 Conflicted, Dockerise, Diversity",56,FALSE,NA,NA,unid,2018-6-11
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2018-6-11
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2018-6-11
---,3,FALSE,NA,NA,unid,2018-6-11
+ [conflicted](https://www.tidyverse.org/articles/2018/06/conflicted/) - a new approach to resolving ambiguity,110,FALSE,NA,###  Highlight,link,2018-6-11
+ [On conduct and diversity in the R Community](https://www.r-consortium.org/announcement/2018/06/07/on-conduct-and-diversity-in-the-r-community),145,FALSE,NA,###  Highlight,link,2018-6-11
+ [.rprofile: Julia Silge](https://ropensci.org/blog/2018/06/08/rprofile-julia-silge/),86,FALSE,NA,###  Highlight,link,2018-6-11
+ [Dockerise and deploy your own R Archive Repo](https://rtask.thinkr.fr/blog/dockerise-and-deploy-your-own-r-archive-repo/),124,FALSE,NA,###  Highlight,link,2018-6-11
"+ [Unconf18 projects](https://ropensci.org/blog/2018/06/08/unconf_recap_4/) - [1](https://ropensci.org/blog/2018/06/05/unconf_recap_1/), [2](https://ropensci.org/blog/2018/06/06/unconf18_recap_2/), [3](https://ropensci.org/blog/2018/06/07/unconf_recap_3/), [4](https://ropensci.org/blog/2018/06/08/unconf_recap_4/)",314,FALSE,NA,###  Highlight,link,2018-6-11
"+ [Fair is foul, and foul is fair: a tidytext sentiment analysis of Shakespeare's tragedies](https://peerchristensen.netlify.com/post/fair-is-foul-and-foul-is-fair-a-tidytext-entiment-analysis-of-shakespeare-s-tragedies/)",221,FALSE,NA,### R in the Real World,link,2018-6-11
![Fair is foul](https://raw.githubusercontent.com/rweekly/image/master/2018/book-18.png),88,FALSE,NA,### R in the Real World,image,2018-6-11
"+ [Hello, Dorling! (Creating Dorling Cartograms from R Spatial Objects + Introducing Prism Skeleton)](https://rud.is/b/2018/06/03/hello-dorling-creating-dorling-cartograms-from-r-spatial-objects-introducing-prism-skeleton/)",223,FALSE,NA,### R in the Real World,link,2018-6-11
"![Hello, Dorling!](https://raw.githubusercontent.com/rweekly/image/master/2018/dorling.png)",91,FALSE,NA,### R in the Real World,image,2018-6-11
+ [Hand-crafted curation: meta-#SoDS18](https://maraaverick.rbind.io/2018/06/meta-sods18-a-call-to-curation/),109,FALSE,NA,### R in the Real World,link,2018-6-11
+ [One Year Anniversary](https://jessesadler.com/post/one-year-reflections/),76,FALSE,NA,### R in the Real World,link,2018-6-11
+ [Making World Tile Grid-Grids](https://rud.is/b/2018/06/07/making-world-tile-grid-grids/),91,FALSE,NA,### R in the Real World,link,2018-6-11
![Making World Tile Grid-Grids](https://raw.githubusercontent.com/rweekly/image/master/2018/chart2-1.png),105,FALSE,NA,### R in the Real World,image,2018-6-11
+ [Estimating mortality rates in Puerto Rico after hurricane Maria using newly released official death counts](https://simplystatistics.org/2018/06/08/a-first-look-at-recently-released-official-puerto-rico-death-count-data/),224,FALSE,NA,### R in the Real World,link,2018-6-11
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,NA,###  New Packages,unid,2018-6-11
**CRAN**,8,FALSE,NA,###  New Packages,unid,2018-6-11
+ [conflicted](https://www.tidyverse.org/articles/2018/06/conflicted/) - a new approach to resolving ambiguity,110,FALSE,NA,###  New Packages,link,2018-6-11
* [ssh](https://cran.r-project.org/web/packages/ssh/vignettes/intro.html) - Secure Shell (SSH) Client for R.,108,FALSE,NA,###  New Packages,unid,2018-6-11
+ [xplain](https://topics-in-r.blogspot.com/2018/05/new-r-package-xplain-providing.html) - Interactive interpretations and explanations of statistical results,158,FALSE,NA,###  New Packages,link,2018-6-11
**BioC**,8,FALSE,NA,###  New Packages,unid,2018-6-11
**GitHub or Bitbucket**,23,FALSE,NA,###  New Packages,unid,2018-6-11
* [blogyaml](https://github.com/ropenscilabs/blogyaml) - batch edit tags of Markdown based blog posts.,102,FALSE,NA,###  New Packages,unid,2018-6-11
+ [rqdatatable](http://www.win-vector.com/blog/2018/06/rqdatatable-rquery-powered-by-data-table/) - rquery Powered by data.table,128,FALSE,NA,###  New Packages,link,2018-6-11
+ [huxtable](https://hughjonesd.github.io/huxtable/) -  creating HTML and LaTeX tables,86,FALSE,NA,### Package Releases,link,2018-6-11
+ [pinp 0.0.5](http://dirk.eddelbuettel.com/blog/2018/06/08#pinp_0.0.5) - Accomodate pandoc 2.*,95,FALSE,NA,### Package Releases,link,2018-6-11
![pinp 0.0.5](https://raw.githubusercontent.com/rweekly/image/master/2018/pinp.png),83,FALSE,NA,### Package Releases,image,2018-6-11
+ [Microsoft R Open 3.5.0 now available](http://blog.revolutionanalytics.com/2018/06/microsoft-r-open-350-now-available.html),125,FALSE,NA,### Package Releases,link,2018-6-11
+ [On conduct and diversity in the R Community](https://www.r-consortium.org/announcement/2018/06/07/on-conduct-and-diversity-in-the-r-community),145,FALSE,NA,### Insights,link,2018-6-11
+ [Trustworthy Data Analysis](https://simplystatistics.org/2018/06/04/trustworthy-data-analysis/),97,FALSE,NA,### Insights,link,2018-6-11
+ [.rprofile: Julia Silge](https://ropensci.org/blog/2018/06/08/rprofile-julia-silge/),86,FALSE,NA,### Insights,link,2018-6-11
+ [Keynote from the Cascadia 2018 R Conference on creatively learning for beginners and advanced users.](https://speakerdeck.com/apreshill/big-magic-with-r-creative-learning-beyond-fear),186,FALSE,NA,###  Resources,link,2018-6-11
"+ [R Datasets](https://vincentarelbundock.github.io/Rdatasets/datasets.html) - 1,000+ datasets available through popular packages",129,FALSE,NA,###  Resources,link,2018-6-11
"+ [Unconf18 projects](https://ropensci.org/blog/2018/06/08/unconf_recap_4/) - [1](https://ropensci.org/blog/2018/06/05/unconf_recap_1/), [2](https://ropensci.org/blog/2018/06/06/unconf18_recap_2/), [3](https://ropensci.org/blog/2018/06/07/unconf_recap_3/), [4](https://ropensci.org/blog/2018/06/08/unconf_recap_4/)",314,FALSE,NA,###  R in Organizations,link,2018-6-11
"+ [Exploring, experimenting, and building software and trust at rOpenSci's unconf18](https://ropensci.org/blog/2018/06/05/unconf18/)",132,FALSE,NA,###  R in Organizations,link,2018-6-11
+ [Webスクレーピングから可視化まで、Tidyverseパッケージで探索データ解析（EDA）!](https://ryo-n7.github.io/2018-06-07-global-peace-index-JP/),110,FALSE,NA,### R Internationally,link,2018-6-11
+ [Animating a Monte Carlo Simulation](https://roh.engineering/post/animating-a-monte-carlo-simulation/),104,FALSE,NA,###  Tutorials,link,2018-6-11
![Animating a Monte Carlo Simulation](https://raw.githubusercontent.com/rweekly/image/master/2018/monte.gif),108,FALSE,NA,###  Tutorials,image,2018-6-11
+ [The Potential Dangers of Using 'Depends'](https://github.com/leeper/Depends),79,FALSE,NA,###  Tutorials,link,2018-6-11
<!--more-->,11,FALSE,NA,###  Tutorials,unid,2018-6-11
+ [Authorship Attribution with Widyr and Tidytext](http://kanishka.xyz/2018/my-first-few-open-source-contributions-authorship-attribution-of-the-federalist-papers/),164,FALSE,NA,###  Tutorials,link,2018-6-11
"+ [summarizing values from merged cells using dplyr, tidyr and tidy evaluation](https://luisdva.github.io/rstats/unbreaking-vals/)",130,FALSE,NA,###  Tutorials,link,2018-6-11
+ [Monte Carlo](https://rviews.rstudio.com/2018/06/05/monte-carlo/),67,FALSE,NA,###  Tutorials,link,2018-6-11
+ [Even Simpler SQL](https://www.johnmackintosh.com/2018-06-03-even-simpler-sql/),81,FALSE,NA,###  Tutorials,link,2018-6-11
+ [A closer look at replicate() and purrr::map() for simulations](https://aosmith.rbind.io/2018/06/05/a-closer-look-at-replicate-and-purrr/),140,FALSE,NA,###  Tutorials,link,2018-6-11
