value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2016-8-22
layout: post,12,FALSE,NA,unid,2016-8-22
title: Issue 13,15,FALSE,NA,unid,2016-8-22
description: Weekly News in R Community.,40,FALSE,NA,unid,2016-8-22
---,3,FALSE,NA,unid,2016-8-22
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,unid,2016-8-22
*Digested by R Weekly Members*,30,FALSE,## Highlight,unid,2016-8-22
+ [Bayesian Statistics explained to Beginners in Simple English](https://www.analyticsvidhya.com/blog/2016/06/bayesian-statistics-beginners-simple-english/),156,FALSE,## Highlight,link,2016-8-22
+ [R Markdown to WordPress Demo](http://jonathanmoscovici.com/?p=140),69,FALSE,#### Tutorials,link,2016-8-22
+ [Fastest way of loading Stata dataset in R](http://www.haghish.com/stata-blog/?p=21),86,FALSE,#### Tutorials,link,2016-8-22
+ [Practicing Machine Learning Techniques in R with MLR Package](https://www.analyticsvidhya.com/blog/2016/08/practicing-machine-learning-techniques-in-r-with-mlr-package/),172,FALSE,#### Tutorials,link,2016-8-22
+ [Learning Path : Step by Step Guide for Beginners to Learn SparkR](https://www.analyticsvidhya.com/blog/2016/06/learning-path-step-step-guide-beginners-learn-sparkr/),168,FALSE,#### Tutorials,link,2016-8-22
"+ [Venn Colors: Happy Bday, John Venn](http://data-steve.github.io/venn-colors-happy-bday-john-venn/)",101,FALSE,#### Tutorials,link,2016-8-22
<!--+ [Recurrent Models and Examples with MXNetR](http://dmlc.ml/rstats/2016/08/19/recurrent-models-and-examples-with-mxnet-r.html)-->,134,FALSE,#### Tutorials,unid,2016-8-22
+ [YAML: Define an R function](http://ipub.com/yaml/),53,FALSE,#### Tutorials,link,2016-8-22
+ [Extract tables from messy spreadsheets with jailbreakr](http://blog.revolutionanalytics.com/2016/08/jailbreakr.html),119,FALSE,#### Tutorials,link,2016-8-22
+ [Dual axes time series plots may be ok sometimes after all](http://ellisp.github.io/blog/2016/08/18/dualaxes),111,FALSE,#### Tutorials,link,2016-8-22
![Dual axes](https://ellisp.github.io/img/0051-dualgood2.svg),61,FALSE,#### Tutorials,image,2016-8-22
"+ [Making fast, good decisions with the FFTrees R package](http://nathanieldphillips.com/2016/08/making-fast-good-decisions-with-the-fftrees-r-package/)",152,FALSE,#### Tutorials,link,2016-8-22
+ [Probably the most useful R function I’ve ever written](http://www.burns-stat.com/probably-useful-r-function-ive-ever-written/),129,FALSE,#### Tutorials,link,2016-8-22
+ [R Markdown: How to insert page breaks in a MS Word document](http://datascienceplus.com/r-markdown-how-to-insert-page-breaks-in-a-ms-word-document/),151,FALSE,#### Tutorials,link,2016-8-22
+ [Calculate Wages and Benefits in R with blscrapeR](https://www.datascienceriot.com/calculate-wages-and-benefits-in-r-with-blscraper/kris/),140,FALSE,#### Tutorials,link,2016-8-22
+ [Can you nest parallel operations in R?](http://www.win-vector.com/blog/2016/08/can-you-nest-parallel-operations-in-r/),121,FALSE,#### Tutorials,link,2016-8-22
+ [Gaussian predictive process models in Stan](http://mbjoseph.github.io/2016/08/14/gpp.html),93,FALSE,#### Tutorials,link,2016-8-22
"+ [Chi-Squared Test – The Purpose, The Math, When and How to Implement?](http://datascienceplus.com/chi-squared-test-in-r/)",123,FALSE,#### Tutorials,link,2016-8-22
+ [ggplot2 themes examples](http://datascienceplus.com/ggplot2-themes-examples/),80,FALSE,#### Tutorials,link,2016-8-22
+ [Data swarms: Your firearms are useless against them!](http://lenkiefer.com/2016/08/18/data-swarm),100,FALSE,#### R in the Real World,link,2016-8-22
![Data swarms: Your firearms are useless against them!](https://cdn.rawgit.com/rweekly/image/master/2016-08-22/HMDA%20loan%20amounts%20v3.gif),142,FALSE,#### R in the Real World,image,2016-8-22
+ [Visualizing when I'm most productive during the day](http://deanattali.com/blog/visualize-git-commits-time/),111,FALSE,#### R in the Real World,link,2016-8-22
![Visualizing when I'm most productive during the day](https://cdn.rawgit.com/daattali/daattali.github.io/master/img/blog/git-commits-time/dean-commits-100.png),160,FALSE,#### R in the Real World,image,2016-8-22
+ [A Shiny App for Passing Bablok and Deming Regression](http://labrtorian.com/2016/08/15/a-shiny-app-for-passing-bablok-and-deming-regression/),144,FALSE,#### R in the Real World,link,2016-8-22
