value,nchar,section_lookup,section_title,type,issue
---,3,FALSE,NA,unid,2016-7-4
layout: post,12,FALSE,NA,unid,2016-7-4
title: Issue 6,14,FALSE,NA,unid,2016-7-4
description: Weekly News in R Community.,40,FALSE,NA,unid,2016-7-4
---,3,FALSE,NA,unid,2016-7-4
Hello and welcome to the new issue of **R Weekly**!,51,FALSE,NA,unid,2016-7-4
*Digested by R Weekly Members*,30,FALSE,## Highlight,unid,2016-7-4
+ [**R Weekly useR! 2016 Edition**](https://rweekly.org/user2016.html) - useR! 2016 slides and related resources.,113,FALSE,## Highlight,link,2016-7-4
+ [Happy Git and GitHub for the useR](http://happygitwithr.com/),64,FALSE,## Highlight,link,2016-7-4
+ [R package primer](http://kbroman.org/pkg_primer/) - a minimal tutorial.,74,FALSE,## Highlight,link,2016-7-4
+ [sparklyr](https://github.com/rstudio/sparklyr) - R interface for Apache Spark.,81,FALSE,## Highlight,link,2016-7-4
<!--tidytext 0.1.1](http://juliasilge.com/blog/Term-Frequency-tf-idf/) - New with inverse document frequency.-->,112,FALSE,## Highlight,unid,2016-7-4
+ [dplyr 0.5](https://blog.rstudio.org/2016/06/27/dplyr-0-5-0/) - This is a big release with a heap of new features and many bug fixes.,135,FALSE,## Highlight,link,2016-7-4
+ [Making “Time Rivers” in R](http://rud.is/b/2016/06/28/making-time-rivers-in-r/),82,FALSE,#### Tutorials,link,2016-7-4
![Making “Time Rivers” in R](https://rud.is/b/wp-content/uploads/2016/06/Cursor_and_RStudio-1.png),98,FALSE,#### Tutorials,image,2016-7-4
+ [How to write good tests in R](https://cartesianfaith.com/2016/06/30/how-to-write-good-tests-in-r/),101,FALSE,#### Tutorials,link,2016-7-4
+ [Boost Your Data Munging with R](https://jangorecki.github.io/blog/2016-06-30/Boost-Your-Data-Munging-with-R.html),116,FALSE,#### Tutorials,link,2016-7-4
+ [Identify method for ggtree](https://guangchuangyu.github.io/2016/06/identify-method-for-ggtree),98,FALSE,#### Tutorials,link,2016-7-4
+ [How to use R for matching samples (propensity score)](http://datascienceplus.com/how-to-use-r-for-matching-samples-propensity-score/),136,FALSE,#### Tutorials,link,2016-7-4
+ [Custom Templated as and wrap Functions within Rcpp.](http://gallery.rcpp.org//articles/custom-templated-wrap-and-as-for-seamingless-interfaces/),147,FALSE,#### Tutorials,link,2016-7-4
+ [Introducing Rcpp::algorithm](http://gallery.rcpp.org//articles/rcpp-algorithm/),82,FALSE,#### Tutorials,link,2016-7-4
"+ [40 years of investing returns in the S&P500, with dividends and inflation, based on historical data](https://github.com/zonination/investing)",144,FALSE,#### R in the Real World,link,2016-7-4
"![40 years of investing returns in the S&P500, with dividends and inflation, based on historical data](https://cdn.rawgit.com/zonination/investing/master/returns-40yr.png)",171,FALSE,#### R in the Real World,image,2016-7-4
+ [Shifting Incomes for American Jobs](http://flowingdata.com/2016/06/28/distributions-of-annual-income/),105,FALSE,#### R in the Real World,link,2016-7-4
![Shifting Incomes for American Jobs](https://cdn.rawgit.com/rweekly/image/master/2016-07-04/Shifting_Incomes.png),114,FALSE,#### R in the Real World,image,2016-7-4
+ [Fixing R’s design flaws in a new version of pqR](https://radfordneal.wordpress.com/2016/06/25/fixing-rs-design-flaws-in-a-new-version-of-pqr/),145,FALSE,#### R in the Real World,link,2016-7-4
+ [WriteR](https://github.com/ajrgodfrey/WriteR) - IDE accessible to blind,74,FALSE,#### R in the Real World,link,2016-7-4
+ [The Datathon and how to make the most of it](http://bigdata-doctor.com/datathon-how-to-make-the-most-of-it/),111,FALSE,#### R in the Real World,link,2016-7-4
+ [A Preview of My Talk for the Data Science Africa Workshop organized by the United Nations](http://blog.danielemaasit.com/2016/06/28/a-preview-of-my-talk-for-the-data-science-africa-workshop-organized-by-the-united-nations/),226,FALSE,#### R in the Real World,link,2016-7-4
+ [Which countries have Regrexit?](https://realizationsinbiostatistics.blogspot.com/2016/06/which-countries-have-regrexit.html),127,FALSE,#### R in the Real World,link,2016-7-4
+ [Did the weather affect the #Brexit vote?](http://freigeist.devmag.net/economics/956-did-the-weather-affect-the-brexit-vote.html),131,FALSE,#### R in the Real World,link,2016-7-4
+ [Update: Predictive Bookmaker Consensus Model for the UEFA Euro 2016](http://www.r-bloggers.com/update-predictive-bookmaker-consensus-model-for-the-uefa-euro-2016/),166,FALSE,#### R in the Real World,link,2016-7-4
"+ [Project TIER](http://citizen-statistician.org/2016/06/25/project-tier/) - Making your research reproducible with Project TIER, R, and GitHub.",144,FALSE,#### R in the Real World,link,2016-7-4
+ [Fixing R’s design flaws in a new version of pqR](https://radfordneal.wordpress.com/2016/06/25/fixing-rs-design-flaws-in-a-new-version-of-pqr/),145,FALSE,#### R in the Real World,link,2016-7-4
+ [Join us at rstudio::conf 2017!](https://blog.rstudio.org/2016/06/30/join-us-at-rstudioconf-2017/),100,FALSE,#### R in Organization,link,2016-7-4
+ [Apache Spark integrated with Microsoft R Server for Hadoop](http://blog.revolutionanalytics.com/2016/06/apache-spark-integrated-with-mrs-for-hadoop.html),156,FALSE,#### R in Organization,link,2016-7-4
"+ [R for Publication by Page Piccinini: Lesson 6, Part 1 – Linear Mixed Effects Models](http://datascienceplus.com/r-for-publication-by-page-piccinini-lesson-6-part-1-linear-mixed-effects-models-lmem/)",201,FALSE,### Videos & Podcasts,link,2016-7-4
"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/9BDA5b-gtbc"" frameborder=""0"" allowfullscreen></iframe>",122,FALSE,### Videos & Podcasts,unid,2016-7-4
 + [R for Data Science](http://r4ds.had.co.nz/index.html) book by Garrett Grolemund and Hadley Wickham.,103,FALSE,### Resources,unid,2016-7-4
+ [R package primer - a minimal tutorial](http://kbroman.org/pkg_primer/),73,FALSE,### Resources,link,2016-7-4
 + [validate version 0.1.5](http://www.markvanderloo.eu/yaRb/2016/06/24/validate-version-1-5-is-out/),101,FALSE,### New Releases,unid,2016-7-4
 + [dplyr version 0.5](https://blog.rstudio.org/2016/06/27/dplyr-0-5-0/),72,FALSE,### New Releases,unid,2016-7-4
 <!--tidytext 0.1.1 now with inverse document frequency](http://juliasilge.com/blog/Term-Frequency-tf-idf/)-->,110,FALSE,### New Releases,unid,2016-7-4
 + [future 1.0.0](https://cran.r-project.org/package=future) with [future.BatchJobs 0.12.1](https://cran.r-project.org/package=future.BatchJobs) and [doFuture 0.2.0](https://cran.r-project.org/package=doFuture),210,FALSE,### New Releases,unid,2016-7-4
+ [RStudio Preview Release v0.99.1246](https://www.rstudio.com/products/rstudio/download/preview-release-notes/) now includes support for [Notebooks](http://rmarkdown.rstudio.com/r_notebooks.html),196,FALSE,### New Packages & Tools,link,2016-7-4
+ [citr](https://github.com/crsh/citr) - RStudio addin for interactively adding BibTeX citations,96,FALSE,### New Packages & Tools,link,2016-7-4
+ [RMarkdown and Mtheme](https://github.com/eddelbuettel/samples-rmarkdown-metropolis),86,FALSE,### New Packages & Tools,link,2016-7-4
![RMarkdown and Mtheme](https://cdn.rawgit.com/rweekly/image/master/2016-07-04/mtheme.png),90,FALSE,### New Packages & Tools,image,2016-7-4
+ [sparklyr](https://github.com/rstudio/sparklyr) - R interface for Apache Spark. Docs page is [here](http://spark.rstudio.com/).,129,FALSE,### New Packages & Tools,link,2016-7-4
+ [simcausal](https://github.com/osofr/simcausal) - Simulating Longitudinal and Network Data with Causal Inference Applications. Extensive vignette is [here](https://cran.r-project.org/web/packages/simcausal/vignettes/simcausal_vignette.pdf).,242,FALSE,### New Packages & Tools,link,2016-7-4
+ [tmlenet](https://github.com/osofr/tmlenet) - Targeted Maximum Likelihood Estimation for Network Data.,104,FALSE,### New Packages & Tools,link,2016-7-4
"+ [stremr](https://github.com/osofr/stremr) - Streamlined Estimation of Survival for Static, Dynamic and Stochastic Treatment and Monitoring Regimes.",149,FALSE,### New Packages & Tools,link,2016-7-4
"+ [satRday! in Budapest, Hungary](http://budapest.satrdays.org/#cfp)",68,FALSE,## Call for Participation,link,2016-7-4
+ [EARL 2016 London](https://earlconf.com/)  **September 13th-15th** <br>,73,FALSE,## Upcoming Events,link,2016-7-4
The primary focus of the Conference is the commercial usage of R across a range of industry sectors with the aim of sharing knowledge and applications of the language.<br />,173,FALSE,## Upcoming Events,unid,2016-7-4
You can also read the up to date [R Weekly UseR! 2016 Edition](https://rweekly.org/user2016.html).,98,FALSE,## useR! 2016,unid,2016-7-4
+ [useR! 2016 Home Page](http://user2016.org/),46,FALSE,#### Resources,link,2016-7-4
+ [Full Schedule](http://schedule.user2016.org/),48,FALSE,#### Resources,link,2016-7-4
+ [Video Stream for June 30](https://mediastream.microsoft.com/events/2016/1606/User2016/player/User2016.html),110,FALSE,#### Resources,link,2016-7-4
+ [Videos on Channel 9 (upcoming)](https://channel9.msdn.com/Events/useR-international-R-User-conference/useR2016),114,FALSE,#### Resources,link,2016-7-4
+ [The useR! 2016 Tutorials](http://blog.revolutionanalytics.com/2016/06/the-user-2016-tutorials.html),102,FALSE,#### Blog Posts,link,2016-7-4
+ [Using R with the Stanford Digital Repository](https://library.stanford.edu/blogs/digital-library-blog/2016/06/using-r-stanford-digital-repository),149,FALSE,#### Blog Posts,link,2016-7-4
+ [Happy Git and GitHub for the useR](http://user2016.org/tutorials/01.html) - [book](http://happygitwithr.com/),112,FALSE,#### Tutorials,link,2016-7-4
+ [Machine Learning Algorithmic Deep Dive](http://user2016.org/tutorials/10.html) - [resources](https://github.com/ledell/useR-machine-learning-tutorial),153,FALSE,#### Tutorials,link,2016-7-4
+ [Extracting data from the web APIs and beyond](http://user2016.org/tutorials/04.html) - [resources](https://github.com/ropensci/user2016-tutorial),148,FALSE,#### Tutorials,link,2016-7-4
"+ [MoRe than woRds, Text and Context: Language Analytics in Finance with R](http://user2016.org/tutorials/07.html) - [slides](https://github.com/srdas/user2016)",160,FALSE,#### Tutorials,link,2016-7-4
+ [Time-to-Event Modeling as the Foundation of Multi-Channel Revenue Attribution](http://user2016.org/tutorials/08.html) - [resources](http://tinyurl.com/userattribution),170,FALSE,#### Tutorials,link,2016-7-4
+ [Never Tell Me the Odds! Machine Learning with Class Imbalances](http://user2016.org/tutorials/06.html) - [resources](https://github.com/topepo/useR2016),155,FALSE,#### Tutorials,link,2016-7-4
"+ [Genome-Wide Association Analysis and Post-Analytic Interrogation with R](http://user2016.org/tutorials/14.html) - [part 1](http://nbviewer.jupyter.org/urls/www.mtholyoke.edu/courses/afoulkes/UseR2016/UseR2016-Part1.ipynb), [part 2](http://nbviewer.jupyter.org/urls/www.mtholyoke.edu/courses/afoulkes/UseR2016/UseR2016-Part2.ipynb)",333,FALSE,#### Tutorials,link,2016-7-4
