value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2018-08-27
"title: R Weekly 2018-35 rstudio::conf, plotly",45,FALSE,NA,NA,unid,2018-08-27
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2018-08-27
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2018-08-27
---,3,FALSE,NA,NA,unid,2018-08-27
+ [rstudio::conf(2019) contributed talks & e-posters](https://blog.rstudio.com/2018/08/20/rstudio-conf-2019-contributed-talks-eposters/),136,FALSE,NA,###  Highlight,link,2018-08-27
+ [plotly-book](http://plotly-book.cpsievert.me/),49,FALSE,NA,###  Highlight,link,2018-08-27
+ [Project-oriented workflow](https://www.tidyverse.org/articles/2017/12/workflow-vs-script/),93,FALSE,NA,### Insights,link,2018-08-27
+ [Constructing a Data Analysis](https://simplystatistics.org/2018/08/24/constructing-a-data-analysis/),103,FALSE,NA,### Insights,link,2018-08-27
+ [How to self-publish a book](https://blog.datascienceheroes.com/how-to-self-publish-a-book/),94,FALSE,NA,### Insights,link,2018-08-27
+ [rstudio::conf(2019) contributed talks & e-posters](https://blog.rstudio.com/2018/08/20/rstudio-conf-2019-contributed-talks-eposters/),136,FALSE,NA,###  R in Organizations,link,2018-08-27
+ [Facebook Advertising Case-study: Dog Food and Manhood](https://rickpackblog.wordpress.com/2018/08/20/facebook-advertising-case-study-dog-food-and-manhood/),158,FALSE,NA,### R in the Real World,link,2018-08-27
![Facebook Advertising Case-study: Dog Food and Manhood](https://rickpackblog.files.wordpress.com/2018/08/shr_dma_results_august1.png?w=1512),141,FALSE,NA,### R in the Real World,image,2018-08-27
+ [R made its first appearance at Fenway Park in 2007. ](https://www.davidkane.info/post/the-first-appearence-of-r-in-fenway-park-was-in-2007/),143,FALSE,NA,### R in the Real World,link,2018-08-27
+ [Estonian Parliament Session Attendance/Absence](http://www.reigo.eu/2018/08/estonian-parliament-session-attendance/),119,FALSE,NA,### R in the Real World,link,2018-08-27
+ [What birds are observed near Radolfzell? Bird occurrence data in R](https://ropensci.org/blog/2018/08/21/birds-radolfzell/),126,FALSE,NA,### R in the Real World,link,2018-08-27
+ [Friday #rstats twofer: Finding macOS 32-bit apps & Processing Data from System Commands](https://rud.is/b/2018/08/24/friday-rstats-twofer-finding-macos-32-bit-apps-processing-data-from-system-commands/),205,FALSE,NA,### R in the Real World,link,2018-08-27
+ [Analysis of Los Angeles Crime with R](https://datascienceplus.com/analysis-of-los-angeles-crime-with-r/),107,FALSE,NA,### R in the Real World,link,2018-08-27
+ [plotly-book](http://plotly-book.cpsievert.me/),49,FALSE,NA,###  Resources,link,2018-08-27
+ [Materials for Teaching Applied Statistics](https://ntguardian.wordpress.com/2018/08/20/materials-for-teaching-applied-statistics/),133,FALSE,NA,###  Resources,link,2018-08-27
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,NA,###  New Packages,unid,2018-08-27
**CRAN**,8,FALSE,NA,###  New Packages,unid,2018-08-27
+ [shinyFeedback](https://www.tychobra.com/posts/2018_08_21_shinfeedback_release/) - Makes it easy to display useful feedback notifications in Shiny apps,153,FALSE,NA,###  New Packages,link,2018-08-27
![shinyFeedback](https://res.cloudinary.com/dxqnb8xjb/image/upload/v1534892739/feedback-screenshot_dafi9w.png),110,FALSE,NA,###  New Packages,image,2018-08-27
**GitHub or Bitbucket**,23,FALSE,NA,###  New Packages,unid,2018-08-27
+ [bigdfr](https://github.com/privefl/bigdfr) - R package to operate with data frames stored on disk,100,FALSE,NA,###  New Packages,link,2018-08-27
+ [startup 0.11.0](https://cran.r-project.org/package=startup) - Friendly R Startup Configuration,97,FALSE,NA,### Package Releases,link,2018-08-27
+ [globals 0.12.2](https://cran.r-project.org/package=globals) - Identify Global Objects in R Expressions,105,FALSE,NA,### Package Releases,link,2018-08-27
+ [rfoaas 2.0.0](http://dirk.eddelbuettel.com/blog/2018/08/20#rfoaas_2.0.0) - R interface to FOAAS service.,107,FALSE,NA,### Package Releases,link,2018-08-27
+ [digest 0.6.16](http://dirk.eddelbuettel.com/blog/2018/08/22#digest_0.6.16) - digest provides `hash' function summaries for GNU R objects.,140,FALSE,NA,### Package Releases,link,2018-08-27
+ [pdfsearch v0.3.0](https://brandonlebeau.org/2018/08/22/pdfsearch-0-3-0/) - Search Tools for PDF Files,104,FALSE,NA,### Package Releases,link,2018-08-27
