value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2018-07-16
"title: R Weekly 2018-28 Tidyverse, R Markdown, Docker",53,FALSE,NA,NA,unid,2018-07-16
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2018-07-16
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2018-07-16
---,3,FALSE,NA,NA,unid,2018-07-16
+ [Teaching R to New Users - From tapply to the Tidyverse](https://simplystatistics.org/2018/07/12/use-r-keynote-2018/),119,FALSE,NA,###  Highlight,link,2018-07-16
+ [Announcing the R Markdown Book](https://blog.rstudio.com/2018/07/13/announcing-the-r-markdown-book/),103,FALSE,NA,###  Highlight,link,2018-07-16
"+ [DockeR for the UseR](https://github.com/noamross/nyhackr-docker-talk) - Slides, Code, and Resources from a talk at nyhackr.org",129,FALSE,NA,###  Highlight,link,2018-07-16
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,NA,###  New Packages,unid,2018-07-16
**CRAN**,8,FALSE,NA,###  New Packages,unid,2018-07-16
+ [muHVT](https://cran.r-project.org/web/packages/muHVT/index.html) - Constructing Hierarchical Voronoi Tessellations and Overlay Heatmap for Data Analysis,155,FALSE,NA,###  New Packages,link,2018-07-16
+ [phylogram](https://ropensci.org/technotes/2018/07/12/phylogram/) - dendrograms for evolutionary analysis,107,FALSE,NA,###  New Packages,link,2018-07-16
![phylogram: dendrograms for evolutionary analysis](https://d33wubrfki0l68.cloudfront.net/c8a2a94543807bb2faf0583ce46ddd297e5a22bb/aab46/img/blog-images/2018-07-12-phylogram/unnamed-chunk-8-1.png),196,FALSE,NA,###  New Packages,image,2018-07-16
+ [R 3.5.1 update now available ](http://blog.revolutionanalytics.com/2018/07/r-351-update-now-available-.html),111,FALSE,NA,### Package Releases,link,2018-07-16
