value,nchar,section_lookup,section_title,section,type,issue
---,3,FALSE,NA,NA,unid,2018-2-12
"title: R Weekly 2018-7 rstudio::conf 2018, rOpenSci, TensorFlow",63,FALSE,NA,NA,unid,2018-2-12
description: Weekly News in the R Community.,44,FALSE,NA,NA,unid,2018-2-12
image: https://rweekly.org/public/facebook.png,46,FALSE,NA,NA,unid,2018-2-12
---,3,FALSE,NA,NA,unid,2018-2-12
+ [Materials (slides) from rstudio::conf 2018](https://github.com/rstudio/rstudio-conf/tree/master/2018),104,FALSE,NA,###  Highlight,link,2018-2-12
+ [The prequel to the drake R package](https://ropensci.org/blog/2018/02/06/drake/),83,FALSE,NA,###  Highlight,link,2018-2-12
+ [TensorFlow for R](https://blog.rstudio.com/2018/02/06/tensorflow-for-r/),75,FALSE,NA,###  Highlight,link,2018-2-12
+ [Apply to attend rOpenSci unconf 2018!](https://ropensci.org/blog/2018/02/08/unconf2018/),91,FALSE,NA,###  Highlight,link,2018-2-12
+ [Enter SadMan: yet more Metalliplots](https://www.johnmackintosh.com/2018-02-03-enter-sadman/),96,FALSE,NA,### R in the Real World,link,2018-2-12
+ [Into the Unknown: Mining and visualizing STARSET song lyrics](https://lhehnke.github.io/notes/2018/02/03/starset-song-lyrics),128,FALSE,NA,### R in the Real World,link,2018-2-12
![Into the Unknown: Mining and visualizing STARSET song lyrics](https://raw.githubusercontent.com/rweekly/image/master/2018/Starplot_Vessels.png),145,FALSE,NA,### R in the Real World,image,2018-2-12
+ [Using goodreads API to figure out most popular books among Estonians.](http://www.reigo.eu/post/goodreads-what-books-estoniareads/),134,FALSE,NA,### R in the Real World,link,2018-2-12
+ [Using deep learning to generate offensive license plates](https://towardsdatascience.com/using-deep-learning-to-generate-offensive-license-plates-619b163ed937),162,FALSE,NA,### R in the Real World,link,2018-2-12
+ [Mapping the Global Metal Scene Using Leaflet and R](https://trent.netlify.com/code/mapping-the-global-metal-scene-using-leaflet-and-r/),138,FALSE,NA,### R in the Real World,link,2018-2-12
+ [Exploratory & sentiment analysis of beer tweets from Untappd on Twitter](http://jasdumas.github.io/2018-02-05-exploring_untp_beer_twitter/),142,FALSE,NA,### R in the Real World,link,2018-2-12
![Exploratory & sentiment analysis of beer tweets from Untappd on Twitter](https://raw.githubusercontent.com/rweekly/image/master/2018/untp-sentiment-1.png),156,FALSE,NA,### R in the Real World,image,2018-2-12
+ [Scraping and visualizing historical data on executions in the US](http://lhehnke.github.io/notes/2018/02/08/death-penalty-us),128,FALSE,NA,### R in the Real World,link,2018-2-12
+ [R in Latin America](http://forwards.github.io/blog/2018/02/05/r-in-latin-america/),85,FALSE,NA,### Insights,link,2018-2-12
+ [Materials (slides) from rstudio::conf 2018](https://github.com/rstudio/rstudio-conf/tree/master/2018),104,FALSE,NA,### Insights,link,2018-2-12
+ [.rprofile: Julia Stewart Lowndes](https://ropensci.org/blog/2018/02/09/rprofile-julia-stewart-lowndes/),106,FALSE,NA,### Insights,link,2018-2-12
"+ [In the first of our interview series, the Sheffield RSE team speak to PhD student Rebecca Senior about the role of coding in her research.](http://rse.shef.ac.uk/blog/code-in-the-academy-rebecca-senior/)",206,FALSE,NA,### Insights,link,2018-2-12
+ [Chain reaction of CRAN death](https://mattstats.wordpress.com/2018/02/05/chain-reaction-of-cran-death/),106,FALSE,NA,### Insights,link,2018-2-12
+ [Apply to attend rOpenSci unconf 2018!](https://ropensci.org/blog/2018/02/08/unconf2018/),91,FALSE,NA,###  R in Organizations,link,2018-2-12
+ [The prequel to the drake R package](https://ropensci.org/blog/2018/02/06/drake/),83,FALSE,NA,###  R in Organizations,link,2018-2-12
"<p class=""added-hostname""><a href=""https://rweekly.org/live"" target=""_blank"" class=""externalLink"">📦 <i>Go Live for More New Pkgs</i> 📦</a></p>",142,FALSE,NA,###  New Packages,unid,2018-2-12
**CRAN**,8,FALSE,NA,###  New Packages,unid,2018-2-12
+ [dirichletprocess](https://cran.r-project.org/package=dirichletprocess) - building flexible Dirichlet process objects to model data in a nonparametric Bayesian framework.,172,FALSE,NA,###  New Packages,link,2018-2-12
**GitHub only**,15,FALSE,NA,###  New Packages,unid,2018-2-12
+ [flagfillr](https://github.com/robertmyles/flagfillr) - Use flags of countries and states as 'fills' in ggplot2 maps.,119,FALSE,NA,###  New Packages,link,2018-2-12
![flagfillr](https://raw.githubusercontent.com/rweekly/image/master/2018/brazil.png),84,FALSE,NA,###  New Packages,image,2018-2-12
+ [getDDD](https://github.com/jeanpaulrsoucy/getDDD) - Download defined daily dose (DDD) information for selected ATC codes from the website of the WHO Collaborating Centre for Drug Statistics Methodology (www.whocc.no),219,FALSE,NA,###  New Packages,link,2018-2-12
+ [dater](http://blog.sellorm.com/2018/02/06/dater-an-r-package-that-just-inserts-a-date/) - Implements and RStudio AddIn to insert the current date into a document,164,FALSE,NA,###  New Packages,link,2018-2-12
+ [pmatch 0.1.1](https://cran.r-project.org/web/packages/pmatch/index.html) - Programming with constructor types and pattern matching,133,FALSE,NA,### Package Releases,link,2018-2-12
+ [TimeSeries.OBeu 1.2.2](https://cran.r-project.org/web/packages/TimeSeries.OBeu/index.html) - TimeSeries.OBeu: Time Series Analysis 'OpenBudgets',147,FALSE,NA,### Package Releases,link,2018-2-12
+ [RcppEigen 0.3.3.4.0](http://dirk.eddelbuettel.com/blog/2018/02/07#rcppeigen_0.3.3.4.0) - 'Rcpp' Integration for the 'Eigen' Templated Linear Algebra Library,159,FALSE,NA,### Package Releases,link,2018-2-12
+ [Amelia McNamara's syntax comparison cheatsheet. Specifically for new R users. ](http://www.science.smith.edu/~amcnamara/Syntax-cheatsheet.pdf),145,FALSE,NA,###  Resources,link,2018-2-12
+ [Zoom in on a map with R - Zoomer sur une carte avec R](https://rgeomatic.hypotheses.org/1288),96,FALSE,NA,### R Internationally,link,2018-2-12
"+ [Quick and Clean DMARC Record Processing with ""Inline"" Rcpp](https://rud.is/b/2018/02/06/quick-and-clean-dmarc-record-processing-with-inline-rcpp/)",149,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Book'em Danno! Applying deep learning for the visual inference lineup protocol](http://giorasimchoni.com/2018/02/07/2018-02-07-book-em-danno/),145,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Tidytext walkthrough: correcting spellings and creating reproducible word clouds](https://gregrs-uk.github.io/2018-02-03/tidytext-walkthrough-correcting-spellings-reproducible-word-clouds/),192,FALSE,NA,###  Tutorials,link,2018-2-12
+ [TensorFlow for R](https://blog.rstudio.com/2018/02/06/tensorflow-for-r/),75,FALSE,NA,###  Tutorials,link,2018-2-12
![TensorFlow for R](https://raw.githubusercontent.com/rweekly/image/master/2018/2018-02-06-tfruns.png),102,FALSE,NA,###  Tutorials,image,2018-2-12
+ [Exploring git commits with git2r](https://recology.info/2018/02/git-commits/),80,FALSE,NA,###  Tutorials,link,2018-2-12
+ [On struggling with aes(): an intro to writing functions with ggplot outputs](http://katiejolly.io/blog/2018-02-05/aes-string),128,FALSE,NA,###  Tutorials,link,2018-2-12
+ [`tsibble`? or `tibbletime`? What's the difference between these two tidy time series packages?](https://blog.earo.me/2018/02/06/tsibble-or-tibbletime/),154,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Time Series Analysis Using ARIMA Model In R](https://datascienceplus.com/time-series-analysis-using-arima-model-in-r/),121,FALSE,NA,###  Tutorials,link,2018-2-12
"+ [Where's the love for htmlwidgets? They allow you to make awesome interactive dataviz with R, but they're barely talked about! Let's change that :)](http://www.visibledata.co.uk/blog/2018/02/07/2018-02-07_where-s-the-love-for-htmlwidgets/)",241,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Quick tutorial on how you can set up continuous integration for your private R projects with CircleCI to reduce risks and overhead.](https://appsilondatascience.com/blog/rstats/2018/02/07/circleci.html),205,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Some basic transformations and explorations guided by the R for Data Science book](http://annamarbut.blogspot.com/2018/02/basic-transformations-and-explorations.html),169,FALSE,NA,###  Tutorials,link,2018-2-12
+ [DataExplorer: Fast Data Exploration With Minimum Code](http://blog.revolutionanalytics.com/2018/02/dataexplorer.html),120,FALSE,NA,###  Tutorials,link,2018-2-12
![DataExplorer](https://raw.githubusercontent.com/rweekly/image/master/2018/8-1.png),84,FALSE,NA,###  Tutorials,image,2018-2-12
+ [Things to try when Knit to PDF fails in the Windows version of RStudio.](https://rickpackblog.wordpress.com/2018/02/06/rstudio-knit-to-pdf-failing-in-windows-things-to-try/),176,FALSE,NA,###  Tutorials,link,2018-2-12
+ [How to use named vectors to turn data codes into words: going from named vectors to functions to R package.](https://ryanestrellado.netlify.com/post/turning-dataset-codes-to-words/),184,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Concatenate Embeddings for Categorical Variables with Keras](http://flovv.github.io/Embeddings_with_keras_part2/),116,FALSE,NA,###  Tutorials,link,2018-2-12
+ [How to make a shaded relief in R](https://eliocamp.github.io/codigo-r/2018/02/how-to-make-shaded-relief-in-r/),113,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Data transformation in #tidyverse style: package sjmisc updated #rstats](https://strengejacke.wordpress.com/2018/02/06/data-transformation-in-tidyverse-style-package-sjmisc-updated-rstats/),192,FALSE,NA,###  Tutorials,link,2018-2-12
+ [How to Import a CSV to an R Notebook](https://blog.datazar.com/how-to-import-a-csv-to-an-r-notebook-16291c28496e),116,FALSE,NA,###  Tutorials,link,2018-2-12
+ [The AI Show: Data Science Virtual Machine](http://blog.revolutionanalytics.com/2018/02/dsvm-on-ai-show.html),111,FALSE,NA,###  Tutorials,link,2018-2-12
+ [#16: Complaining Works.](http://dirk.eddelbuettel.com/blog/2018/02/06#016_note_inconsistencies),98,FALSE,NA,###  Tutorials,link,2018-2-12
"+ [Thanks, Marie Dussault, for Reading the Full blogdown Book](https://yihui.name/en/2018/02/marie-dussault/)",109,FALSE,NA,###  Tutorials,link,2018-2-12
+ [In case you missed it: January 2018 roundup](http://blog.revolutionanalytics.com/2018/02/in-case-you-missed-it-january-2018-roundup.html),140,FALSE,NA,###  Tutorials,link,2018-2-12
"+ [What do Fahrenheit, comma separated files, and markdown have in common? ](https://simplystatistics.org/2018/02/08/what-do-fahrenheit-comma-separated-files-and-markdown-have-in-common/)",187,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Calculating Beta in the Capital Asset Pricing Model](https://rviews.rstudio.com/2018/02/08/capm-beta/),105,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Visualising an ethnicity statistical classification](http://ellisp.github.io/blog/2018/02/10/ethnicity),106,FALSE,NA,###  Tutorials,link,2018-2-12
+ [All Hidden Features will Eventually be Discovered](https://yihui.name/en/2018/02/hidden-features/),101,FALSE,NA,###  Tutorials,link,2018-2-12
+ [My first article: A not fully crossed design](https://mvaugoyeau.netlify.com/2018/02/06/my-first-article/),109,FALSE,NA,###  Tutorials,link,2018-2-12
+ [Introduction to GIS with R](https://jessesadler.com/post/gis-with-r-intro/),78,FALSE,NA,###  Tutorials,link,2018-2-12
![Introduction to GIS with R](https://raw.githubusercontent.com/rweekly/image/master/2018/points_spdf-plot-1.png),113,FALSE,NA,###  Tutorials,image,2018-2-12
+ [Run system commands or shell scripts from an interactive R session](https://uncmbbtrivia.netlify.com/post/2018/02/05/run-system-commands-or-shell-sripts-from-an-interactive-r-session/),187,FALSE,NA,###  Tutorials,link,2018-2-12
+ [RSS feed and rbind github repo](https://uncmbbtrivia.netlify.com/post/2018/02/06/rss-feed/),94,FALSE,NA,###  Tutorials,link,2018-2-12
"<!--<div class=""post-more-begin""></div><div class=""post-more-end""></div>-->",75,FALSE,NA,###  Tutorials,unid,2018-2-12
+ [Making banded ridgline plots of American Time Use Survey](https://gist.github.com/thoughtfulbloke/7dcc08f26fc6f8df3865de4e8d53a180),134,FALSE,NA,### Gist & Cookbook,link,2018-2-12
Updates from [R Core](http://developer.r-project.org/blosxom.cgi/R-devel/NEWS):,79,FALSE,NA,###  R Project Updates,unid,2018-2-12
"+ The environment variable `R_MAX_VZISE` can now be used to specify the maximal vector heap size. On macOS, unless specified by this environment variable, the maximal vector heap size is set to the maximum on 16GB and the available physical memory. This is to avoid having the `R` process killed when macOS over-commits memory.",327,FALSE,NA,###  R Project Updates,unid,2018-2-12
+ `methods:::bind_activation()` is defunct now; it typically has been unneeded for years.,89,FALSE,NA,###  R Project Updates,unid,2018-2-12
"+ the undocumented ""hidden"" `.__H__.cbind` and `.__H__.rbind` are deprecated, correspondingly.",94,FALSE,NA,###  R Project Updates,unid,2018-2-12
"+ `sum(x)` and `sum(x1,x2,..,x<N>)` with many or long logical and integer vectors no longer overflows (and returns `NA` with a warning), but returns `double` numbers now in such cases.",184,FALSE,NA,###  R Project Updates,unid,2018-2-12
+ Single components of POSIXlt objects can now be extracted and replaced via `[` indexing with 2 indices.,105,FALSE,NA,###  R Project Updates,unid,2018-2-12
+ S3 method lookup now searches the namespace registry after the top level environment of the calling environment.,114,FALSE,NA,###  R Project Updates,unid,2018-2-12
+ satRday Cape Town 2018 **March 17** <br />,44,FALSE,NA,###  Upcoming Events,unid,2018-2-12
[satRday Cape Town](http://capetown2018.satrdays.org/),54,FALSE,NA,###  Upcoming Events,unid,2018-2-12
+ R/Finance 2018 **June 1 and 2** <br />,40,FALSE,NA,###  Upcoming Events,unid,2018-2-12
[Applied Finance with R](http://www.rinfinance.com).,52,FALSE,NA,###  Upcoming Events,unid,2018-2-12
"+ [CascadiaRConf](https://cascadiarconf.com/) **June 2, 2018**",62,FALSE,NA,###  Upcoming Events,link,2018-2-12
"Portland, OR, US",16,FALSE,NA,###  Upcoming Events,unid,2018-2-12
+ [7eme Rencontres R](https://r2018-rennes.sciencesconf.org/)  **5 & 6 July 2018** <br />,89,FALSE,NA,###  Upcoming Events,link,2018-2-12
Rennes - Agrocampus,19,FALSE,NA,###  Upcoming Events,unid,2018-2-12
"+ useR! 2018 **July 10, 2018** <br />",37,FALSE,NA,###  Upcoming Events,unid,2018-2-12
The annual useR! conference is the main meeting of the international R user and developer community.,100,FALSE,NA,###  Upcoming Events,unid,2018-2-12
More past events at [R conferences & meetups](https://conf.rweekly.org).,72,FALSE,NA,###  Upcoming Events,unid,2018-2-12
"+ [rOpenSci unconf18 self-nominations, deadline 2018/03/08](https://ropensci.org/blog/2018/02/08/unconf2018/)",109,FALSE,NA,###  Call for Participation,link,2018-2-12
"<p class=""hide-support added-hostname support-rweekly"" style=""text-align: center;font-weight: bold;"">Your <a class=""non-visited externalLink"" href=""https://www.patreon.com/rweekly"" onclick=""pas(this)"">support</a> will keep R Weekly team moving! 💡</p>",250,FALSE,NA,###  Call for Participation,unid,2018-2-12
"<blockquote class=""twitter-tweet"" data-lang=""ca""><p lang=""en"" dir=""ltr"">[blog] Want to participate in <a href=""https://twitter.com/hashtag/runconf18?src=hash&amp;ref_src=twsrc%5Etfw"">#runconf18</a>? Only takes a few minutes to nominate yourself! Deadline Mar 8th, 2018 <a href=""https://t.co/z2WEjJTseU"">https://t.co/z2WEjJTseU</a> <a href=""https://twitter.com/hashtag/rstats?src=hash&amp;ref_src=twsrc%5Etfw"">#rstats</a> <a href=""https://t.co/JJG9A7c4SA"">pic.twitter.com/JJG9A7c4SA</a></p>&mdash; rOpenSci (@rOpenSci) <a href=""https://twitter.com/rOpenSci/status/961779397131829248?ref_src=twsrc%5Etfw"">9 de febrer de 2018</a></blockquote>",639,FALSE,NA,###  Quotes of the Week,unid,2018-2-12
